,InvoiceNo,Stock Code,Description,Quantity,InvoiceDate,UnitPrice,Customer ID,Country,TotalAmount,Age,Salary
0,489895,22130,PARTY CONE CHRISTMAS DECORATION ,12,03-12-2009 07:25,0.85,12779,Poland,10.2,23,56463
1,489895,21432,SET OF 3 CASES WOODLAND DESIGN,2,03-12-2009 07:25,5.95,12779,Poland,11.9,23,56463
2,489895,21232,STRAWBERRY CERAMIC TRINKET BOX,24,03-12-2009 07:25,1.25,12779,Poland,30,23,56463
3,489895,37448,CERAMIC CAKE DESIGN SPOTTED MUG,24,03-12-2009 07:25,1.49,12779,Poland,35.76,23,56463
4,489895,37494A,FAIRY CAKE CERAMIC BUTTER DISH,6,03-12-2009 07:25,2.95,12779,Poland,17.7,23,56463
5,489895,21700,BIG DOUGHNUT FRIDGE MAGNETS,24,03-12-2009 07:25,0.85,12779,Poland,20.4,23,56463
6,489895,47556B,TEA TIME TEA TOWELS ,6,03-12-2009 07:25,2.95,12779,Poland,17.7,23,56463
7,489895,22059,CERAMIC STRWBERRY DESIGN MUG,24,03-12-2009 07:25,1.49,12779,Poland,35.76,23,56463
8,489895,22055,MINI CAKE STAND  HANGING STRAWBERY,8,03-12-2009 07:25,1.65,12779,Poland,13.2,23,56463
9,489895,37446,MINI CAKE STAND WITH HANGING CAKES,8,03-12-2009 07:25,1.45,12779,Poland,11.6,23,56463
10,489895,84569D,PACK 6 HEART/ICE-CREAM PATCHES,12,03-12-2009 07:25,1.25,12779,Poland,15,23,56463
11,489895,22209,WOOD STAMP SET HAPPY BIRTHDAY,12,03-12-2009 07:25,1.65,12779,Poland,19.8,23,56463
12,489895,22210,WOOD STAMP SET BEST WISHES,12,03-12-2009 07:25,1.65,12779,Poland,19.8,23,56463
13,489895,22208,WOOD STAMP SET THANK YOU,12,03-12-2009 07:25,1.65,12779,Poland,19.8,23,56463
14,489895,21428,SET3 BOOK BOX GREEN GINGHAM FLOWER,4,03-12-2009 07:25,4.25,12779,Poland,17,23,56463
15,489895,21430,SET/3 RED GINGHAM ROSE STORAGE BOX,4,03-12-2009 07:25,3.75,12779,Poland,15,23,56463
16,489895,21884,CAKES AND BOWS GIFT  TAPE,12,03-12-2009 07:25,0.65,12779,Poland,7.8,23,56463
17,489895,21882,SKULLS TAPE,12,03-12-2009 07:25,0.65,12779,Poland,7.8,23,56463
18,489895,21880,RED AND WHITE SPOT TAPE,12,03-12-2009 07:25,0.65,12779,Poland,7.8,23,56463
19,489895,21883,STARS GIFT TAPE ,12,03-12-2009 07:25,0.65,12779,Poland,7.8,23,56463
20,489895,85049C,ROMANTIC PINKS RIBBONS ,12,03-12-2009 07:25,1.25,12779,Poland,15,23,56463
21,489895,85049F,BABY BOOM RIBBONS ,12,03-12-2009 07:25,1.25,12779,Poland,15,23,56463
22,499516,21232,STRAWBERRY CERAMIC TRINKET BOX,48,01-03-2010 09:56,1.25,12779,Poland,60,23,56463
23,499516,22055,MINI CAKE STAND  HANGING STRAWBERY,16,01-03-2010 09:56,1.65,12779,Poland,26.4,23,56463
24,499516,20712,JUMBO BAG WOODLAND ANIMALS,10,01-03-2010 09:56,1.95,12779,Poland,19.5,23,56463
25,499516,21930,JUMBO STORAGE BAG SKULLS,10,01-03-2010 09:56,1.95,12779,Poland,19.5,23,56463
26,499516,84815,SET OF 3 DANISH ROSE PLANTERS,6,01-03-2010 09:56,4.25,12779,Poland,25.5,23,56463
27,499516,47559B,TEA TIME OVEN GLOVE,10,01-03-2010 09:56,1.25,12779,Poland,12.5,23,56463
28,499516,22178,VICTORIAN GLASS HANGING T-LIGHT,12,01-03-2010 09:56,1.25,12779,Poland,15,23,56463
29,499516,84949,SILVER HANGING T-LIGHT HOLDER,12,01-03-2010 09:56,1.65,12779,Poland,19.8,23,56463
30,499516,47591B,SCOTTIES DES CHILD'S APRON,8,01-03-2010 09:56,1.65,12779,Poland,13.2,23,56463
31,499516,47591D,PINK FAIRY CAKE CHILD'S APRON,8,01-03-2010 09:56,1.95,12779,Poland,15.6,23,56463
32,499516,22057,CERAMIC PLATE STRAWBERRY DESIGN,12,01-03-2010 09:56,1.49,12779,Poland,17.88,23,56463
33,499516,37447,CERAMIC CAKE DESIGN SPOTTED PLATE,12,01-03-2010 09:56,1.49,12779,Poland,17.88,23,56463
34,499516,47504E,ENGLISH ROSE SCISSORS,12,01-03-2010 09:56,1.25,12779,Poland,15,23,56463
35,499516,47504K,ENGLISH ROSE GARDEN SECATEURS,12,01-03-2010 09:56,1.95,12779,Poland,23.4,23,56463
36,499516,22063,CERAMIC BOWL WITH STRAWBERRY DESIGN,6,01-03-2010 09:56,2.95,12779,Poland,17.7,23,56463
37,506142,21358,TOAST ITS - HAPPY BIRTHDAY,12,27-04-2010 16:19,1.25,12744,Singapore,15,41,23491
